0,0
12,0.1233
24,0.23288
36,0.33026
48,0.41681
60,0.49372
72,0.56207
84,0.62281
96,0.67679
108,0.72476
120,0.7674
132,0.80528
144,0.83896
156,0.86888
168,0.89547
180,0.91911
192,0.94011
204,0.95877
216,0.97536
228,0.9901
240,1.0032
252,1.0148
264,1.0252
276,1.0344
288,1.0426
300,1.0498
312,1.0563
324,1.062
336,1.0671
348,1.0716
360,1.0757
372,1.0792
384,1.0824
396,1.0852
408,1.0878
420,1.09
432,1.092
444,1.0937
456,1.0953
468,1.0967
480,1.0979
492,1.099
504,1.1
516,1.1009
528,1.1016
540,1.1023
552,1.1029
564,1.1035
576,1.104
588,1.1044
600,1.1048
612,1.1051
624,1.1054
636,1.1057
648,1.1059
660,1.1061
672,1.1063
684,1.1065
696,1.1066
708,1.1068
720,1.1069
732,1.107
744,1.1071
756,1.1071
768,1.1072
780,1.1073
792,1.1073
804,1.1074
816,1.1074
828,1.1075
840,1.1075
852,1.1075
864,1.1076
876,1.1076
888,1.1076
900,1.1076
912,1.1077
924,1.1077
936,1.1077
948,1.1077
960,1.1077
972,1.1077
984,1.1077
996,1.1077
1008,1.1077
1020,1.1078
1032,1.1078
1044,1.1078
1056,1.1078
1068,1.1078
1080,1.1078
1092,1.1078
1104,1.1078
1116,1.1078
1128,1.1078
1140,1.1078
1152,1.1078
1164,1.1078
1176,1.1078
1188,1.1078
1200,1.1078
1212,1.1078
1224,1.1078
1236,1.1078
1248,1.1078
1260,1.1078
1272,1.1078
1284,1.1078
1296,1.1078
1308,1.1078
1320,1.1078
1332,1.1078
1344,1.1078
1356,1.1078
1368,1.1078
1380,1.1078
1392,1.1078
1404,1.1078
1416,1.1078
1428,1.1078
1440,1.1078
1452,1.1078
1464,1.1078
1476,1.1078
1488,1.1078
1500,1.1078
1512,1.1078
1524,1.1078
1536,1.1078
1548,1.1078
1560,1.1078
1572,1.1078
1584,1.1078
1596,1.1078
1608,1.1078
1620,1.1078
1632,1.1078
1644,1.1078
1656,1.1078
1668,1.1078
1680,1.1078
1692,1.1078
1704,1.1078
1716,1.1078
1728,1.1078
1740,1.1078
1752,1.1078
1764,1.1078
1776,1.1078
1788,1.1078
1800,1.1078
1812,1.1078
1824,1.1078
1836,1.1078
1848,1.1078
1860,1.1078
1872,1.1078
1884,1.1078
1896,1.1078
1908,1.1078
1920,1.1078
1932,1.1078
1944,1.1078
1956,1.1078
1968,1.1078
1980,1.1078
1992,1.1078
2004,1.1078
2016,1.1078
2028,1.1078
2040,1.1078
2052,1.1078
2064,1.1078
2076,1.1078
2088,1.1078
2100,1.1078
2112,1.1078
2124,1.1078
2136,1.1078
2148,1.1078
2160,1.1078
2172,1.1078
2184,1.1078
2196,1.1078
2208,1.1078
2220,1.1078
2232,1.1078
2244,1.1078
2256,1.1078
2268,1.1078
2280,1.1078
2292,1.1078
2304,1.1078
2316,1.1078
2328,1.1078
2340,1.1078
2352,1.1078
2364,1.1078
2376,1.1078
2388,1.1078
2400,1.1078
2412,1.1078
2424,1.1078
